truku	zh	en	fr	headword
Asaw bi isu.	這都多虧了你（或：這都是你的錯）。	It is indeed thanks to you (var. It is indeed your fault).	C'est bien grâce à toi (vl. C'est bien par ta faute).	A
Ida asaw dnyagan su ka mkeudus nami.	我們能活著，真是多虧了你。	It is truly thanks to you that we are alive.	C'est bien grâce à toi que nous sommes en vie.	A
Siida o, acih ku bi ini usa.	那時我差一點就沒去。	At that moment I very nearly did not go.	A ce moment là j'ai bien failli ne pas aller.	A
Adas nhari pila.	快帶錢來（註：D'si n'xali ka pila=快把錢帶來=錢就是我命令你立刻帶來的東西。）	Bring money quickly (n.b. D'si n'xali ka pila = Bring the money quickly = the money is what I order you to bring at once.)	Apporte vite (de) l'argent (nb. D'si n'xali ka pila = Apporte vite l'argent = l'argent c'est ce que je t'ordonne d'apporter de suite.)	ADAS
Ini ku adas puniq mu.	我沒有隨身帶槍。	I did not bring my gun with me.	Je n'ai pas emporté mon fusil avec moi.	ADAS
Kuxul su ka nii? … Adas da!	你喜歡這個嗎？……拿去吧！	Do you like it? … Take it!	Cela te fait plaisir ? … Prends le !	ADAS
Madas ku cicih samat uuqun su saman.	我帶一點獵物給你，當你明天的飯菜。	I am bringing you a little game for your meal tomorrow.	Je t'apporte un peu de gibier pour ton repas de demain.	ADAS
Mnadas ku samat kiya ssghuway mu sunan.	我帶那獵物來（我帶了那獵物來），是為了感謝你。	I was bringing you that game (I brought you that game) to thank you.	Je t'apportais ce gibier là (Je t'ai apporté ce gibier là) pour te remercier.	ADAS
Mnadas ku laqi spsapuh mu sunan.	我帶兒子來，讓你為他醫治。	I brought my son so that you could treat him.	J'ai amené mon fils pour le faire soigner par toi.	ADAS
Nadas ima ka samat nii?	這獵物是誰帶來的？	Who brought this game?	Qui est-ce qui a apporté ce gibier ?	ADAS
Laqi su nanak ka nii hu? … Aji! Nadas kuyuh mu!	這是你親生的兒子嗎？……不是！是我妻子的（結婚時她帶過來的）。	Is this your own son? … No! He is my wife's (brought by her at our marriage).	Est-ce là ton propre fils ? … Non ! C'est celui de ma femme (apporté par elle lors de notre mariage).	ADAS
Pdsi ku saman ka patas.	明天把你的信寫來給我。	Write me your letter tomorrow.	Ecris-moi demain ta lettre.	ADAS
Yaku ka empeadas patas.	寄信的人是我。	I am the one sending the letter.	C'est moi qui expédie la lettre.	ADAS
Empeadas ku patas saman.	我明天會寄（送達）一封信。	I will send (I will have delivered) a letter tomorrow.	J'enverrai (je ferai parvenir) une lettre demain.	ADAS
Mnarig ku siyang shiga spadas mu lqian mu daya.	我昨天買了肉，好帶上山給我兒子。	Yesterday I bought meat so as (to have something) to take up there to my son.	J'ai acheté hier de la viande pour (avoir quelque chose à) porter la haut à mon fils.	ADAS
Huling ni mirit, ini pndka kndsan.	狗和羊毫無共同之處。	Dog and goat have nothing in common.	Chien et chèvre n'ont rien en commun.	ADAS
Aji ku mha ka yaku.	我啊，我不想去。	As for me, I do not want to go.	Moi, je ne veux pas aller.	ADI
Manu ka kuxul su? Bhgay hu? Banah hu? … Aji ku ka embanah!	你喜歡哪個？白的？紅的？……我不要紅的！	Which do you prefer? White? Red? … I don't want the red one!	Que préfères tu ? Blanc ? Rouge ? … Je ne veux pas du rouge !	ADI
Aji bi ki da!	那可不行！再也不要了！	Not that! Never again!	Cela non ! Plus jamais !	ADI
Meaji su ka isu do o, ya aji empeaji kana ka dhiya da!	要是你說不，其他人不就全都會拒絕了嗎？（但願不會！）	If you say no, won't all the others refuse too? (= I do hope not!)	Si toi tu dis non, est-ce-que les autres ne vont pas tous refuser ? (=j'espère que ne … Pas !).	ADI
Mha su maduk? Tqnay ta hu?	你要去打獵嗎？我們一起去，好嗎？	Are you going hunting? Shall we go together?	Tu vas à la chsse ? Allons ensemble, veux tu ?	ADOP
Pusu bi maduk ka dtruku.	太魯閣族人是打獵的行家。	The Taroko are expert hunters.	Les taroko sont des spécialistes de la chasse.	ADOP
Malu bi ka dupan namu! Mkdupan nami o, ungat bi ana manu samat da! (… Ana manu dupun da!)	你們的獵場真好！我們的獵場已經完全沒有獵物了！	Your hunting grounds are very good! In ours there is really no game left!	Votre territoire de chasse est très bon ! Dans le nôtre il n'y a vraiment plus de gibier !	ADOP
Manu ka dupun su? Pada hu? Bowyak hu? Kumay hu?	你要獵什麼？山羌？山豬？還是熊？	What are you going to hunt? The serow? The wild boar? The bear?	Que vas tu chasser ? Le chamoix ? Le sanglier ? L'ours ?	ADOP
Mmuda namu pkriqu ni peaduk ni pshangan ni pseeliq hangan.	你們將被憎恨、被追捕、被譏笑，你們的名聲將被詆毀。	You will be hated, hunted down, ridiculed, and your name will be reviled.	Vous allez être haïs, pourchassées, ridiculisés, et votre nom sera vilipendé.	ADOP
Akay bu!	哎呀，媽呀！	Ouch, mother!	Aïe maman !	AKAI
Akay uwit!	唉呀！好累啊！	Oh my! How tiring!	Oh la ! Quelle fatigue !	AKAI
Akay tunux!	唉呀，我的頭！	Oh, my head!	Oh ma tête !	AKAI
Alang bi manu ka nii?	1、這是什麼地方？2、這地方真怪！	1. What place is this? 2. What a strange place this is!	1° Quel est cet endroit ? 2° Quel drôle d'endroit que celui-ci !	ALANG
Muda elealang dha ggarang suyang bi kari, kika snkgulan su.	走遍各部落傳揚福音，這就是你被差遣的緣故。	To go through all the villages spreading the Good News - that is why you were sent.	Aller dans tous les villages répandre la Bonne nouvelle, voilà pourquoi tu as été envoyé.	ALANG
Balay bi tnealang ka yaku uri.	我也是道道地地的本地人！	I too am truly a native of this place!	Je suis véritablement du pays moi aussi !	ALANG
